Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
backports,C:/Users/pech/Documents/R/win-library/3.6,1.1.5,NA,R (>= 3.0.0),utils,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
base64enc,C:/Users/pech/Documents/R/win-library/3.6,0.1-3,NA,R (>= 2.9.0),NA,NA,NA,png,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.0
base64url,C:/Users/pech/Documents/R/win-library/3.6,1.4,NA,NA,backports (>= 1.1.0),NA,"base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
BayesFactor,C:/Users/pech/Documents/R/win-library/3.6,0.9.12-4.2,NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, gtools,
MatrixModels, Rcpp (>= 0.11.2), methods, hypergeo","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, arm, lme4, xtable,
languageR",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
bayesplot,C:/Users/pech/Documents/R/win-library/3.6,1.7.0,NA,R (>= 3.1.0),"dplyr (>= 0.8.0), ggplot2 (>= 2.2.1), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo (>=
2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>= 2.17.1),
rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales, shinystan
(>= 2.3.0), testthat (>= 2.0.0), vdiffr",NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
bayestestR,C:/Users/pech/Documents/R/win-library/3.6,0.4.0,NA,R (>= 3.0),"insight (>= 0.6.0), methods, stats, utils",NA,"BayesFactor, bridgesampling, brms, broom, covr, dplyr,
emmeans, GGally, ggplot2, ggridges, KernSmooth, knitr, MASS,
mclust, lme4, logspline, performance, rmarkdown, rstan,
rstanarm, see, stringr, testthat, tidyr",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
BayesX,C:/Users/pech/Documents/R/win-library/3.6,0.3-1,NA,shapefiles,"sp, maptools, colorspace, coda, splines, methods",NA,"spdep, akima, gpclib, rgeos",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
BBmisc,C:/Users/pech/Documents/R/win-library/3.6,1.11,NA,NA,"utils, methods, stats, checkmate (>= 1.8.0)",NA,"testthat, microbenchmark, codetools",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
bdsmatrix,C:/Users/pech/Documents/R/win-library/3.6,1.3-3,NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,LGPL-2,NA,NA,NA,NA,yes,3.6.0
beepr,C:/Users/pech/Documents/R/win-library/3.6,1.3,NA,NA,"stringr (>= 1.0.0), audio",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.1
beeswarm,C:/Users/pech/Documents/R/win-library/3.6,0.2.3,NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.0
betareg,C:/Users/pech/Documents/R/win-library/3.6,3.1-2,NA,R (>= 3.0.0),"graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",NA,"car, lattice, partykit, strucchange",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
BH,C:/Users/pech/Documents/R/win-library/3.6,1.69.0-1,NA,NA,NA,NA,NA,NA,BSL-1.0,NA,NA,NA,NA,no,3.6.0
bibtex,C:/Users/pech/Documents/R/win-library/3.6,0.4.2,NA,R (>= 3.0.2),"stringr, utils",NA,testthat,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
bigmemory,C:/Users/pech/Documents/R/win-library/3.6,4.5.33,NA,"R (>= 3.2.0),","methods, Rcpp, utils, bigmemory.sri","BH, Rcpp","knitr, testthat","biganalytics, bigtabulate",LGPL-3 | Apache License 2.0,NA,NA,NA,NA,yes,3.6.1
bigmemory.sri,C:/Users/pech/Documents/R/win-library/3.6,0.1.3,NA,NA,methods,NA,NA,"bigmemory, synchronicity",LGPL-3 | Apache License 2.0,NA,NA,NA,NA,no,3.6.0
bigrquery,C:/Users/pech/Documents/R/win-library/3.6,1.2.0,NA,R (>= 3.2),"assertthat, bit64, curl, DBI, gargle (>= 0.3.0), glue (>=
1.3.0), httr, jsonlite, methods, prettyunits, progress, Rcpp,
rlang, tibble","progress, rapidjsonr, Rcpp","covr, DBItest, dbplyr, dplyr (>= 0.7.0), hms, readr, sodium,
testthat (>= 2.1.0), withr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
bindr,C:/Users/pech/Documents/R/win-library/3.6,0.1.1,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
bindrcpp,C:/Users/pech/Documents/R/win-library/3.6,0.2.2,NA,NA,"bindr (>= 0.1.1), Rcpp (>= 0.12.16)","plogr, Rcpp",testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
BiocManager,C:/Users/pech/Documents/R/win-library/3.6,1.30.10,NA,NA,utils,NA,"BiocStyle, BiocVersion, remotes, testthat, withr, curl, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
bit,C:/Users/pech/Documents/R/win-library/3.6,1.1-14,NA,R (>= 2.9.2),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
bit64,C:/Users/pech/Documents/R/win-library/3.6,0.9-7,NA,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
bitops,C:/Users/pech/Documents/R/win-library/3.6,1.0-6,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.0
blme,C:/Users/pech/Documents/R/win-library/3.6,1.0-4,NA,"R (>= 3.0-0), lme4 (>= 1.0-6)","methods, stats, utils",NA,testthat (>= 0.9-0),NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
blob,C:/Users/pech/Documents/R/win-library/3.6,1.2.0,NA,NA,"methods, prettyunits, rlang, vctrs (>= 0.2.0)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
blogdown,C:/Users/pech/Documents/R/win-library/3.6,0.16,NA,NA,"rmarkdown (>= 1.11), bookdown (>= 0.9), knitr (>= 1.21),
htmltools, yaml (>= 2.1.19), httpuv (>= 1.4.0), xfun (>= 0.5),
servr (>= 0.13)",NA,"testit, shiny, miniUI, stringr, rstudioapi, tools, processx,
later",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
bmp,C:/Users/pech/Documents/R/win-library/3.6,0.3,NA,NA,NA,NA,"pixmap, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
bookdown,C:/Users/pech/Documents/R/win-library/3.6,0.14,NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 1.12),
xfun (>= 0.6), tinytex (>= 0.12)",NA,"htmlwidgets, rstudioapi, miniUI, rsconnect (>= 0.4.3), servr
(>= 0.13), shiny, testit (>= 0.9), tufte, webshot",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
boot,C:/Users/pech/Documents/R/win-library/3.6,1.3-23,recommended,"R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,Unlimited,NA,NA,NA,NA,no,3.6.1
BradleyTerry2,C:/Users/pech/Documents/R/win-library/3.6,1.1-0,NA,R (>= 2.10),"brglm, gtools, lme4 (>= 1.0), qvcalc, stats",NA,prefmod,gnm,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
brew,C:/Users/pech/Documents/R/win-library/3.6,1.0-6,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.6.0
brglm,C:/Users/pech/Documents/R/win-library/3.6,0.6.2,NA,"R (>= 2.6.0), profileModel",NA,NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
bridgesampling,C:/Users/pech/Documents/R/win-library/3.6,0.7-2,NA,R (>= 3.0.0),"mvnfast, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble,
MCMCpack",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
brms,C:/Users/pech/Documents/R/win-library/3.6,2.10.0,NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.1.0), Matrix
(>= 1.1.1), mgcv (>= 1.8-13), rstantools (>= 1.5.1), bayesplot
(>= 1.5.0), shinystan (>= 2.4.0), bridgesampling (>= 0.3-0),
glue (>= 1.3.0), matrixStats, nleqslv, nlme, coda, abind,
future, stats, utils, parallel, grDevices, backports",NA,"testthat (>= 0.9.1), RWiener, mice, spdep, mnormt, lme4,
MCMCglmm, splines2, ape, arm, statmod, digest, R.rsp, knitr,
rmarkdown",NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
Brobdingnag,C:/Users/pech/Documents/R/win-library/3.6,1.2-6,NA,"R (>= 2.13.0), methods",NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,3.6.0
broom,C:/Users/pech/Documents/R/win-library/3.6,0.5.2,NA,R (>= 3.1),"backports, dplyr, generics (>= 0.0.2), methods, nlme, purrr,
reshape2, stringr, tibble, tidyr",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot, brms,
btergm, car, caret, coda, covr, e1071, emmeans, ergm, gam (>=
1.15), gamlss, gamlss.data, gamlss.dist, geepack, ggplot2,
glmnet, gmm, Hmisc, irlba, joineRML, Kendall, knitr, ks,
Lahman, lavaan, lfe, lme4, lmodel2, lmtest, lsmeans, maps,
maptools, MASS, Matrix, mclust, mgcv, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, plyr, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, rsample, rstan, rstanarm,
sp, speedglm, statnet.common, survey, survival, testthat,
tseries, xergm, zoo",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
BTM,C:/Users/pech/Documents/R/win-library/3.6,0.2.1,NA,NA,"Rcpp, utils",Rcpp,udpipe,NA,Apache License 2.0,NA,NA,NA,NA,yes,3.6.1
Cairo,C:/Users/pech/Documents/R/win-library/3.6,1.5-10,NA,R (>= 2.4.0),"grDevices, graphics",NA,png,FastRWeb,GPL-2,NA,NA,NA,NA,yes,3.6.0
callr,C:/Users/pech/Documents/R/win-library/3.6,3.3.2,NA,NA,"processx (>= 3.4.0), R6, utils",NA,"cliapp, covr, crayon, fansi, knitr, pingr, ps, rmarkdown,
rprojroot, spelling, testthat, tibble, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
car,C:/Users/pech/Documents/R/win-library/3.6,3.0-5,NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",NA,"alr4, boot, coxme, leaps, lmtest, Matrix, MatrixModels, rgl
(>= 0.93.960), sandwich, SparseM, survival, survey",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
carData,C:/Users/pech/Documents/R/win-library/3.6,3.0-2,NA,R (>= 3.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.0
caret,C:/Users/pech/Documents/R/win-library/3.6,6.0-84,NA,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.1.0), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.4),
withr (>= 2.0.0)",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, mda, mgcv,
mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls, pROC,
proxy, randomForest, RANN, spls, subselect, pamr, superpc,
Cubist, testthat (>= 0.9.1), rpart, dplyr",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
caTools,C:/Users/pech/Documents/R/win-library/3.6,1.17.1.2,NA,R (>= 2.2.0),bitops,NA,"MASS, rpart",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
cellranger,C:/Users/pech/Documents/R/win-library/3.6,1.1.0,NA,R (>= 3.0.0),"rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
checkmate,C:/Users/pech/Documents/R/win-library/3.6,1.9.4,NA,R (>= 3.0.0),"backports (>= 1.1.0), utils",NA,"R6, bit, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tibble",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
chron,C:/Users/pech/Documents/R/win-library/3.6,2.3-54,NA,R (>= 2.12.0),"graphics, stats",NA,"scales, ggplot2",zoo,GPL-2,NA,NA,NA,NA,yes,3.6.1
circlize,C:/Users/pech/Documents/R/win-library/3.6,0.4.8,NA,"R (>= 3.0.0), graphics","GlobalOptions (>= 0.1.0), shape, grDevices, utils, stats,
colorspace, methods, grid",NA,"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 1.99.0),
gridBase, png",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
class,C:/Users/pech/Documents/R/win-library/3.6,7.3-15,recommended,"R (>= 3.0.0), stats, utils",MASS,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
classInt,C:/Users/pech/Documents/R/win-library/3.6,0.4-2,NA,R (>= 2.2),"grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
cli,C:/Users/pech/Documents/R/win-library/3.6,1.1.0,NA,R (>= 2.10),"assertthat, crayon (>= 1.3.4), methods, utils",NA,"covr, fansi, mockery, testthat, webshot, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
clipr,C:/Users/pech/Documents/R/win-library/3.6,0.7.0,NA,NA,utils,NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
clisymbols,C:/Users/pech/Documents/R/win-library/3.6,1.2.0,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
cluster,C:/Users/pech/Documents/R/win-library/3.6,2.1.0,recommended,R (>= 3.3.0),"graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
cmprsk,C:/Users/pech/Documents/R/win-library/3.6,2.2-9,NA,"R (>= 3.0.0), survival",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
coda,C:/Users/pech/Documents/R/win-library/3.6,0.19-3,NA,R (>= 2.14.0),lattice,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
codetools,C:/Users/pech/Documents/R/win-library/3.6,0.2-16,recommended,R (>= 2.1),NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,3.6.0
coin,C:/Users/pech/Documents/R/win-library/3.6,1.3-1,NA,"R (>= 3.4.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-0),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp",libcoin (>= 1.0-0),"xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
colorspace,C:/Users/pech/Documents/R/win-library/3.6,1.4-1,NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
colortools,C:/Users/pech/Documents/R/win-library/3.6,0.1.5,NA,NA,NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.0
colourpicker,C:/Users/pech/Documents/R/win-library/3.6,1.0,NA,R (>= 3.1.0),"ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs, utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
combinat,C:/Users/pech/Documents/R/win-library/3.6,0.0-8,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.6.0
commonmark,C:/Users/pech/Documents/R/win-library/3.6,1.7,NA,NA,NA,NA,"curl, testthat, xml2",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
CompQuadForm,C:/Users/pech/Documents/R/win-library/3.6,1.4.3,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.0
config,C:/Users/pech/Documents/R/win-library/3.6,0.3,NA,NA,yaml (>= 2.1.13),NA,"testthat, knitr",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
contfrac,C:/Users/pech/Documents/R/win-library/3.6,1.1-12,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
CORElearn,C:/Users/pech/Documents/R/win-library/3.6,1.53.1,NA,NA,"cluster,rpart, stats,nnet",NA,"lattice,MASS,rpart.plot,ExplainPrediction",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
corpcor,C:/Users/pech/Documents/R/win-library/3.6,1.6.9,NA,R (>= 3.0.2),stats,NA,,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.0
correlationfunnel,C:/Users/pech/Documents/R/win-library/3.6,0.1.0,NA,R (>= 3.1),"ggplot2, rlang, recipes, magrittr, plotly, tibble, dplyr,
tidyr, stats, utils, ggrepel, stringr, forcats, purrr, cli,
crayon, rstudioapi",NA,"scales, knitr, rmarkdown, covr, lubridate, testthat (>=
2.1.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
corrgram,C:/Users/pech/Documents/R/win-library/3.6,1.13,NA,NA,"graphics, grDevices, seriation, stats",NA,"gridBase, knitr, Matrix, psych, rmarkdown, sfsmisc, testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
corrplot,C:/Users/pech/Documents/R/win-library/3.6,0.84,NA,NA,NA,NA,"knitr, RColorBrewer, testthat",NA,GPL,NA,NA,NA,NA,no,3.6.1
countrycode,C:/Users/pech/Documents/R/win-library/3.6,1.1.0,NA,R (>= 2.10),NA,NA,testthat (>= 0.5),NA,GPL-3,NA,NA,NA,NA,no,3.6.1
covr,C:/Users/pech/Documents/R/win-library/3.6,3.3.2,NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
cowplot,C:/Users/pech/Documents/R/win-library/3.6,1.0.0,NA,R (>= 3.5.0),"ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales, utils",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, rmarkdown, testthat (>= 1.0.0),
tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
CoxBoost,C:/Users/pech/Documents/R/win-library/3.6,1.4,NA,"R (>= 2.14.0), survival, Matrix, prodlim",NA,NA,"parallel, snowfall",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
coxme,C:/Users/pech/Documents/R/win-library/3.6,2.2-14,optional,"survival (>= 2.36.14), methods, bdsmatrix(>= 1.3), R(>= 2.10)","nlme, Matrix (>= 1.0)",bdsmatrix,"mvtnorm, kinship2",NA,LGPL-2,NA,NA,NA,NA,yes,3.6.1
crayon,C:/Users/pech/Documents/R/win-library/3.6,1.3.4,NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
crosstalk,C:/Users/pech/Documents/R/win-library/3.6,1.0.0,NA,NA,"htmltools (>= 0.3.5), jsonlite, lazyeval, R6, shiny (>= 0.11),
ggplot2",NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
crrstep,C:/Users/pech/Documents/R/win-library/3.6,2015-2.1,NA,cmprsk,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
cubature,C:/Users/pech/Documents/R/win-library/3.6,2.0.3,NA,NA,Rcpp,Rcpp,"testthat, knitr, mvtnorm, benchr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
Cubist,C:/Users/pech/Documents/R/win-library/3.6,0.2.2,NA,lattice,reshape2,NA,"mlbench, caret, knitr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
curl,C:/Users/pech/Documents/R/win-library/3.6,4.2,NA,R (>= 3.0.0),NA,NA,"askpass, spelling, testthat (>= 1.0.0), knitr, jsonlite,
rmarkdown, magrittr, httpuv (>= 1.4.4), webutils",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
CVST,C:/Users/pech/Documents/R/win-library/3.6,0.2-2,NA,"kernlab,Matrix",NA,NA,NA,NA,GPL (>= 2.0),NA,NA,NA,NA,no,3.6.1
cyclocomp,C:/Users/pech/Documents/R/win-library/3.6,1.1.0,NA,NA,"callr, crayon, desc, remotes, withr",NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
DAAG,C:/Users/pech/Documents/R/win-library/3.6,1.22.1,NA,"R (>= 2.10.0), lattice","latticeExtra, methods",NA,"leaps, oz, lme4, quantreg, knitr, boot, rpart, randomForest,
MASS, survival",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
data.table,C:/Users/pech/Documents/R/win-library/3.6,1.12.6,NA,R (>= 3.1.0),methods,NA,"bit64, curl, R.utils, knitr, xts, nanotime, zoo, yaml",NA,MPL-2.0 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
